seller_id,total_orders,delivered_orders,late_orders,on_time_rate,avg_review_score,low_review_pct,avg_delivery_days,composite_score
2addf05f476d0637864454e93ba673d5,12,12,0,100.0,5.0,0.0,10.0,100.0
48efc9d94a9834137efd9ea76b065a38,33,33,0,100.0,5.0,0.0,10.6,100.0
334cab711dee080b079fa5779b584783,11,11,0,100.0,4.96,0.0,6.4,99.68
41c2bad7229b0c25e6becf179ebf63ff,20,20,0,100.0,4.96,0.0,4.3,99.68
b1fecf4da1fa2689bccffa0121953643,19,19,0,100.0,4.95,0.0,10.2,99.6
9d681c7e12db302cb261e721040dde65,13,13,0,100.0,4.93,0.0,8.5,99.44
2d518637f53161b973e01f56ea4bb88e,13,13,0,100.0,4.92,0.0,13.3,99.36
2f4b0d3b9634b647d4edee577d7ebb7e,10,10,0,100.0,4.91,0.0,6.3,99.28
788e857f317e53de488d393e65a80f45,11,11,0,100.0,4.91,0.0,6.9,99.28
f44b6f775a2b390380e0e30b5c9d3eee,10,10,0,100.0,4.9,0.0,8.3,99.2
ffad1e7127fb622cb64a900751590acd,10,10,0,100.0,4.87,0.0,8.0,98.96
30a81d8cf85fb2ada1b1b094c9583a95,17,17,0,100.0,4.85,0.0,3.6,98.8
0ff83046c3fa22efee8ecf291888b191,10,10,0,100.0,4.82,0.0,11.9,98.56
b080809eaacb49e5ca07290981472431,11,11,0,100.0,4.82,0.0,10.0,98.56
cac63f48c38cd7d002a7e846dcd99a23,10,10,0,100.0,4.82,0.0,6.4,98.56
d4f117125b59ce73c3302f88ee40c458,17,17,0,100.0,4.82,0.0,7.3,98.56
42fa4ee7240e9b8eb4576358ec142ba7,22,22,0,100.0,4.81,0.0,6.5,98.48
54583ab379489add547fe47b628db589,10,10,0,100.0,4.8,0.0,4.6,98.4
5f26c1408a65b42a7224cd463bdf3292,10,10,0,100.0,4.8,0.0,6.1,98.4
52562a9f449c3dc3d53f5f5b9ed74903,14,14,0,100.0,4.79,0.0,12.9,98.32
